模块,序号,功能点/接口,负责人,状态,完成日期,备注
前端-首页,1.1,顶部公告条,,待开始,,
前端-首页,1.2,头部导航（PC端9菜单）,,待开始,,
前端-首页,1.3,登录/注册按钮,,待开始,,
前端-首页,1.4,Banner轮播（4秒切换）,,待开始,,
前端-首页,1.5,游戏分类（6个入口）,,待开始,,
前端-首页,1.6,中奖滚动公告,,待开始,,
前端-首页,1.7,热门游戏列表,,待开始,,
前端-首页,1.8,响应式适配,,待开始,,
前端-优惠页,2.1,活动列表展示,,待开始,,
前端-优惠页,2.2,活动详情页,,待开始,,
前端-朋友圈,3.1,专属提示条,,待开始,,
前端-朋友圈,3.2,顶部Banner图片,,待开始,,
前端-朋友圈,3.3,Tab切换（3个Tab）,,待开始,,
前端-朋友圈,3.4,动态列表,,待开始,,
前端-公共组件,4.1,悬浮联系按钮,,待开始,,
前端-公共组件,4.2,底部导航（H5）,,待开始,,
前端-公共组件,4.3,反馈弹窗,,待开始,,
后台-登录,1.1,IP白名单验证,,待开始,,
后台-登录,1.2,Google验证码,,待开始,,
后台-登录,1.3,角色权限控制,,待开始,,
后台-登录,1.4,登录日志记录,,待开始,,
后台-数据统计,2.1,统计卡片（4项）,,待开始,,
后台-数据统计,2.2,趋势图表,,待开始,,
后台-数据统计,2.3,排行榜,,待开始,,
后台-用户管理,3.1,后台用户CRUD,,待开始,,
后台-用户管理,3.2,Google密钥管理,,待开始,,
后台-用户管理,3.3,试玩用户列表,,待开始,,
后台-用户管理,3.4,注册用户列表,,待开始,,
后台-用户管理,3.5,用户导出功能,,待开始,,
后台-游戏管理,4.1,游戏类别CRUD,,待开始,,
后台-游戏管理,4.2,游戏列表CRUD,,待开始,,
后台-游戏管理,4.3,批量导入/导出,,待开始,,
后台-游戏管理,4.4,已删除游戏（回收站）,,待开始,,
后台-游戏管理,4.5,推荐游戏配置,,待开始,,
后台-内容管理,5.1,Banner管理CRUD,,待开始,,
后台-内容管理,5.2,按钮跳转配置,,待开始,,
后台-内容管理,5.3,优惠活动CRUD,,待开始,,
后台-内容管理,5.4,朋友圈动态CRUD,,待开始,,
后台-下游配置,6.1,网页配置（登录/注册URL）,,待开始,,
后台-下游配置,6.2,APP配置,,待开始,,
后台-下游配置,6.3,联系方式配置,,待开始,,
后台-系统管理,7.1,网站配置,,待开始,,
后台-系统管理,7.2,站内信,,待开始,,
后台-系统管理,7.3,IP白名单管理,,待开始,,
前端接口,1.1,/api/config/site,,待开始,,
前端接口,1.2,/api/config/contact,,待开始,,
前端接口,1.3,/api/config/login-url,,待开始,,
前端接口,1.4,/api/config/register-url,,待开始,,
前端接口,1.5,/api/banner/list,,待开始,,
前端接口,1.6,/api/category/list,,待开始,,
前端接口,1.7,/api/game/list,,待开始,,
前端接口,1.8,/api/game/hot,,待开始,,
前端接口,1.9,/api/promo/list,,待开始,,
前端接口,1.10,/api/moments/list,,待开始,,
前端接口,1.11,/api/marquee/list,,待开始,,
后台接口,2.1,/admin/login,,待开始,,
后台接口,2.2,/admin/stats/*,,待开始,,
后台接口,2.3,/admin/user/*,,待开始,,
后台接口,2.4,/admin/category/*,,待开始,,
后台接口,2.5,/admin/game/*,,待开始,,
后台接口,2.6,/admin/banner/*,,待开始,,
后台接口,2.7,/admin/promo/*,,待开始,,
后台接口,2.8,/admin/moments/*,,待开始,,
后台接口,2.9,/admin/config/*,,待开始,,
后台接口,2.10,/admin/whitelist/*,,待开始,,
